,adpcm_dec_main,binarysearch_main,cover_main,fir2dim_main,fmref_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,ndes_main,st_main,statemate_main
adpcm_dec_main,0.068544,0.06162,0.118274,0.201469,1.595334,0.891357,0.045658,0.305853,0.052954,0.685001,5.713518,0.160792
binarysearch_main,0.174661,0.013005,0.12428,0.107405,1.790631,0.67282,0.012475,0.061171,0.036702,0.509434,1.665469,0.277349
cover_main,0.278523,0.053546,0.312919,0.340586,4.737678,1.787434,0.069385,0.428793,0.167663,1.359775,6.792516,0.675445
fir2dim_main,0.670296,0.086312,0.684436,0.647125,10.380627,3.470772,0.08211,0.402943,0.231034,2.684726,9.910817,1.571827
fmref_main,3.304671,0.735181,3.918593,4.790389,53.665661,24.16325,0.622843,3.699498,1.394211,18.756759,106.294167,7.880155
huff_dec_main,2.66097,0.399295,2.704018,2.619192,41.400759,14.601615,0.365951,1.925853,0.981244,11.428736,46.718179,6.297391
iir_main,0.153047,0.0103,0.121168,0.08386,1.364534,0.4962,0.009804,0.048682,0.051166,0.389436,1.32011,0.211934
insertsort_main,1.065022,0.069799,1.052332,0.572681,9.768675,3.413369,0.069088,0.316758,0.237689,2.64342,8.581544,1.514754
jfdctint_main,0.14395,0.020967,0.220507,0.157954,2.124609,0.86538,0.033316,0.106426,0.04706,0.607791,3.072467,0.308375
ndes_main,2.011566,0.393488,2.063408,2.060884,32.006482,11.574111,0.290981,1.473221,0.737895,8.533253,36.994734,4.809772
st_main,20.723564,2.558501,20.091274,16.921013,298.209412,103.224641,2.409027,11.017801,7.093879,79.639683,219.245785,49.859227
statemate_main,0.154205,0.075144,0.272787,0.45154,3.575652,1.987103,0.062354,0.421983,0.107511,1.540528,12.661327,0.347996
